ZONA_GEOGRAFICA_STR,ANIO,IHH_CANALES_TRANSMISION,IHH_CANALES_PROGRAMACION
Tizimfn- Valladolid,2019,2800,2812
Tlaxcala-Apizaco,2019,2500,2347
Toluca,2019,3878,3600
Tula,2019,4380,3750
Tulancingo,2019,5000,5000
Tulum- Cozumel-Solidaridad,2019,3061,3000
Tuxtla Gutierrez,2019,4286,4074
Uruapan,2019,3061,2839
Valle de Mexico,2019,2778,2150
Veracruz,2019,3400,3373
Villahermosa,2019,3889,3600
Xalapa,2019,3719,3750
Zacatecas-Guadalupe,2019,3889,3600
Zamora,2019,5200,5000
Aguascalientes,2020,4031,3675
Tijuana,2020,3076,2896
Mexicali,2020,3803,2725
La Laguna,2020,3049,2651
Saltillo,2020,3200,2798
Monclova-Frontera,2020,3600,4288
Piedras Negras,2020,4149,3362
Colima-Villa de Alvarez,2020,3906,3575
TecomAn,2020,6267,5465
Tuxtla Gutierrez,2020,3016,3051
JuArez,2020,2839,2396
Chihuahua,2020,3122,3190
Valle de Mexico,2020,2795,2561
Leon,2020,3390,2679
San Francisco del Rincon,2020,2508,2421
Moroleon-Uriangato,2020,5764,5978
Acapulco,2020,3879,3648
Pachuca,2020,3178,2300
Tulancingo,2020,4758,4756
Tula,2020,4375,4195
Guadalajara,2020,3211,2350
Puerto Vallarta,2020,3524,4191
OcotlAn,2020,4361,4441
Toluca,2020,3048,2563
Morelia,2020,3850,3333
Zamora,2020,3748,3891
La Piedad-Penjamo,2020,4397,4643
Cuernavaca,2020,4198,3722
Cuautla,2020,5413,4950
Tepic,2020,2375,2250
Monterrey,2020,3573,3047
Oaxaca,2020,3806,3732
Tehuantepec,2020,7141,7524
Puebla-Tlaxcala,2020,2788,2413
TehuacAn,2020,5468,5540
Queretaro,2020,4017,3800
Cancun,2020,2248,2361
San Luis Potosi,2020,3429,2685
Rioverde,2020,3616,3614
Guaymas,2020,3741,3269
Villahermosa,2020,2812,3045
Tampico,2020,2509,2426
Reynosa,2020,2592,2357
Matamoros,2020,3045,2882
Nuevo Laredo,2020,3061,2653
Tlaxcala-Apizaco,2020,2626,2384
Veracruz,2020,3811,3460
Xalapa,2020,4292,3538
Poza Rica,2020,4790,4247
Orizaba,2020,3640,4150
MinatitlAn,2020,3548,3526
Coatzacoalcos,2020,3601,3600
Cordoba,2020,4804,4435
Acayucan,2020,4059,3596
Merida,2020,2245,2426
Zacatecas-Guadalupe,2020,3857,3598
Celaya,2020,4064,3870
Tianguistenco,2020,3367,2701
TeziutlAn,2020,5014,4523
Campeche,2020,2767,2971
Chetumal,2020,4601,4700
Chilpancingo,2020,3729,3808
Ciudad Victoria,2020,3067,2662
CuliacAn,2020,2770,2654
Delicias,2020,3889,4286
Durango,2020,3354,2849
Ensenada,2020,5078,4967
Guanajuato,2020,4004,3406
Hermosillo,2020,4214,3672
Hidalgo del Parral,2020,5155,5002
La Paz,2020,2788,3017
MazatlAn,2020,2779,2643
Nogales,2020,3574,3852
Tapachula,2020,3050,3006
Ciudad del Carmen,2020,3750,3889
Cuencame,2020,10000,10000
Santiago Papasquiaro,2020,3750,4286
Uruapan,2020,2245,2562
Agualeguas,2020,5000,5000
San Cristobal de las Casas,2020,3600,4063
Ciudad Obregon,2020,3333,2663
Comitan,2020,2778,2840
Los Mochis,2020,2778,2639
Cabo San Lucas- San Jose del Cabo,2020,4242,4720
Acaponeta- Tecuala,2020,3235,3060
Tulum- Cozumel-Solidaridad,2020,3889,3580
Matehuala- Cedral-Dr. Arroyo,2020,3889,3580
Tizimin- Valladolid,2020,3750,3889
