FOLIO,CONCESIONARIO,K_GRUPO,GRUPO,ANIO,MES,FECHA,K_EMPRESA,EMPRESA,S_RESIDENCIAL_E,S_NO_RESIDENCIAL_E,S_AMBOS_E,S_NO_ESPECIFICADO_E,S_TOTAL_E
100201,JOSE CIPRES VILLASEÑOR,G008,MEGACABLE-MCM,2013,12,15DEC2013,C0378,MEGACABLE,13826,122,,,13948
100201,JOSE CIPRES VILLASEÑOR,G008,MEGACABLE-MCM,2014,1,15JAN2014,C0378,MEGACABLE,13832,122,,,13954
100201,JOSE CIPRES VILLASEÑOR,G008,MEGACABLE-MCM,2014,2,15-feb-14,C0378,MEGACABLE,13842,122,,,13964
100201,JOSE CIPRES VILLASEÑOR,G008,MEGACABLE-MCM,2014,3,15-mar-14,C0378,MEGACABLE,13424,119,,,13543
100201,JOSE CIPRES VILLASEÑOR,G008,MEGACABLE-MCM,2014,4,15APR2014,C0378,MEGACABLE,13435,120,,,13555
100201,JOSE CIPRES VILLASEÑOR,G008,MEGACABLE-MCM,2014,5,15-may-14,C0378,MEGACABLE,13753,123,,,13876
100201,JOSE CIPRES VILLASEÑOR,G008,MEGACABLE-MCM,2014,6,15-jun-14,C0378,MEGACABLE,14127,128,,,14255
100201,JOSE CIPRES VILLASEÑOR,G008,MEGACABLE-MCM,2014,7,15-jul-14,C0378,MEGACABLE,12878,116,,,12994
100201,JOSE CIPRES VILLASEÑOR,G008,MEGACABLE-MCM,2014,8,15AUG2014,C0378,MEGACABLE,12885,116,,,13001
100201,JOSE CIPRES VILLASEÑOR,G008,MEGACABLE-MCM,2014,9,15-sep-14,C0378,MEGACABLE,13022,117,,,13139
100201,JOSE CIPRES VILLASEÑOR,G008,MEGACABLE-MCM,2014,10,15-oct-14,C0378,MEGACABLE,13210,119,,,13329
100201,JOSE CIPRES VILLASEÑOR,G008,MEGACABLE-MCM,2014,11,15-nov-14,C0378,MEGACABLE,13129,117,,,13246
100201,JOSE CIPRES VILLASEÑOR,G008,MEGACABLE-MCM,2014,12,15DEC2014,C0378,MEGACABLE,13476,120,,,13596
100201,JOSE CIPRES VILLASEÑOR,G008,MEGACABLE-MCM,2015,1,15JAN2015,C0378,MEGACABLE,13512,120,,,13632
100201,JOSE CIPRES VILLASEÑOR,G008,MEGACABLE-MCM,2015,2,15-feb-15,C0378,MEGACABLE,13510,120,,,13630
100201,JOSE CIPRES VILLASEÑOR,G008,MEGACABLE-MCM,2015,3,15-mar-15,C0378,MEGACABLE,13919,126,,,14045
