FECHA,GRUPO,MARKET_SHARE
15-mar-00,AIRECABLE,0.00137
15-mar-00,DISH-MVS,0.10909
15-mar-00,OTROS,0.25722
15-jun-00,GRUPO TELEVISA,0.28582
15-jun-00,ULTRAVISION,0.00781
15-jun-00,OTROS,0.26342
15-jun-00,CABLECOM,0.09166
15-jun-00,DISH-MVS,0.10485
15-jun-00,MEGACABLE-MCM,0.18304
15-jun-00,AIRECABLE,0.00142
15-jun-00,CABLEVISION RED,0.06056
15-jun-00,TV REY,0.00142
15-sep-00,AIRECABLE,0.00141
15-sep-00,TV REY,0.00146
15-sep-00,DISH-MVS,0.09931
15-sep-00,CABLEVISION RED,0.0588
15-sep-00,ULTRAVISION,0.00727
15-sep-00,MEGACABLE-MCM,0.19306
15-sep-00,GRUPO TELEVISA,0.27446
15-sep-00,CABLECOM,0.09016
15-sep-00,OTROS,0.27407
15DEC2000,GRUPO TELEVISA,0.27718
15DEC2000,CABLEVISION RED,0.05792
15DEC2000,CABLECOM,0.09021
15DEC2000,OTROS,0.27279
15DEC2000,TV REY,0.00156
15DEC2000,ULTRAVISION,0.00652
15DEC2000,AIRECABLE,0.00152
15DEC2000,MEGACABLE-MCM,0.19562
15DEC2000,DISH-MVS,0.09669
15-mar-01,GRUPO TELEVISA,0.26566
15-mar-01,DISH-MVS,0.08787
15-mar-01,AIRECABLE,0.00151
15-mar-01,ULTRAVISION,0.00578
15-mar-01,MEGACABLE-MCM,0.19319
15-mar-01,CABLEVISION RED,0.05449
15-mar-01,OTROS,0.3027
15-mar-01,TV REY,0.00158
15-mar-01,CABLECOM,0.08722
15-jun-01,AIRECABLE,0.00164
15-jun-01,MEGACABLE-MCM,0.1897
15-jun-01,GRUPO TELEVISA,0.26903
15-jun-01,OTROS,0.30456
15-jun-01,ULTRAVISION,0.0053
15-jun-01,CABLECOM,0.0889
15-jun-01,CABLEVISION RED,0.05392
15-jun-01,DISH-MVS,0.08532
15-jun-01,TV REY,0.00163
15-sep-01,CABLECOM,0.08927
15-sep-01,CABLEVISION RED,0.05323
15-sep-01,GRUPO TELEVISA,0.27034
15-sep-01,DISH-MVS,0.08229
15-sep-01,AIRECABLE,0.00165
15-sep-01,OTROS,0.3071
15-sep-01,TV REY,0.00164
15-sep-01,ULTRAVISION,0.00505
15-sep-01,MEGACABLE-MCM,0.18945
15DEC2001,AIRECABLE,0.0016
15DEC2001,GRUPO TELEVISA,0.43185
15DEC2001,CABLEVISION RED,0.05315
15DEC2001,CABLECOM,0.08877
15DEC2001,OTROS,0.14756
15DEC2001,ULTRAVISION,0.00494
15DEC2001,DISH-MVS,0.08049
15DEC2001,MEGACABLE-MCM,0.19002
15DEC2001,TV REY,0.00161
15-mar-02,GRUPO TELEVISA,0.438
15-mar-02,OTROS,0.14351
15-mar-02,AIRECABLE,0.00164
15-mar-02,ULTRAVISION,0.00489
15-mar-02,MEGACABLE-MCM,0.18978
15-mar-02,DISH-MVS,0.07698
15-mar-02,CABLEVISION RED,0.05383
15-mar-02,CABLECOM,0.08968
15-mar-02,TV REY,0.00168
15-jun-02,DISH-MVS,0.07277
15-jun-02,TV REY,0.00186
15-jun-02,GRUPO TELEVISA,0.43922
15-jun-02,AIRECABLE,0.00173
15-jun-02,ULTRAVISION,0.00476
15-jun-02,MEGACABLE-MCM,0.19116
15-jun-02,CABLECOM,0.09032
15-jun-02,CABLEVISION RED,0.05448
15-jun-02,OTROS,0.14369
15-sep-02,TV REY,0.00215
15-sep-02,AIRECABLE,0.00183
15-sep-02,CABLEVISION RED,0.05422
15-sep-02,OTROS,0.14927
15-sep-02,CABLECOM,0.09139
15-sep-02,GRUPO TELEVISA,0.43865
15-sep-02,ULTRAVISION,0.00483
15-sep-02,MEGACABLE-MCM,0.19428
15-sep-02,DISH-MVS,0.06338
15DEC2002,CABLEVISION RED,0.05322
15DEC2002,MEGACABLE-MCM,0.19006
15DEC2002,GRUPO TELEVISA,0.4359
15DEC2002,CABLECOM,0.08976
15DEC2002,AIRECABLE,0.00189
15DEC2002,TV REY,0.00225
15DEC2002,DISH-MVS,0.06593
15DEC2002,OTROS,0.15618
15DEC2002,ULTRAVISION,0.00481
15-mar-03,DISH-MVS,0.07273
15-mar-03,ULTRAVISION,0.00528
15-mar-03,AIRECABLE,0.00204
15-mar-03,GRUPO TELEVISA,0.42476
15-mar-03,CABLECOM,0.09053
15-mar-03,OTROS,0.1617
15-mar-03,CABLEVISION RED,0.05253
15-mar-03,TV REY,0.00225
15-mar-03,MEGACABLE-MCM,0.18819
15-jun-03,DISH-MVS,0.08169
15-jun-03,AIRECABLE,0.00212
15-jun-03,OTROS,0.16047
15-jun-03,CABLEVISION RED,0.0515
15-jun-03,TV REY,0.00222
15-jun-03,CABLECOM,0.08986
15-jun-03,ULTRAVISION,0.00613
15-jun-03,MEGACABLE-MCM,0.18529
15-jun-03,GRUPO TELEVISA,0.42073
15-sep-03,GRUPO TELEVISA,0.41258
15-sep-03,CABLECOM,0.08903
15-sep-03,AIRECABLE,0.0021
15-sep-03,MEGACABLE-MCM,0.18422
15-sep-03,TV REY,0.00223
15-sep-03,ULTRAVISION,0.00644
15-sep-03,DISH-MVS,0.09682
15-sep-03,OTROS,0.15663
15-sep-03,CABLEVISION RED,0.04996
15DEC2003,GRUPO TELEVISA,0.41043
15DEC2003,MEGACABLE-MCM,0.1828
15DEC2003,OTROS,0.1532
15DEC2003,CABLECOM,0.08669
15DEC2003,AIRECABLE,0.00218
15DEC2003,ULTRAVISION,0.0063
15DEC2003,TV REY,0.00207
15DEC2003,DISH-MVS,0.10846
15DEC2003,CABLEVISION RED,0.04788
15-mar-04,ULTRAVISION,0.00654
15-mar-04,OTROS,0.15127
15-mar-04,DISH-MVS,0.11749
15-mar-04,CABLECOM,0.08551
15-mar-04,TV REY,0.00196
15-mar-04,AIRECABLE,0.00217
15-mar-04,MEGACABLE-MCM,0.18501
15-mar-04,GRUPO TELEVISA,0.40338
15-mar-04,CABLEVISION RED,0.04667
15-jun-04,DISH-MVS,0.12272
15-jun-04,GRUPO TELEVISA,0.40225
15-jun-04,TV REY,0.00184
15-jun-04,MEGACABLE-MCM,0.18555
15-jun-04,CABLECOM,0.08532
15-jun-04,ULTRAVISION,0.00666
15-jun-04,OTROS,0.14739
15-jun-04,CABLEVISION RED,0.04613
15-jun-04,AIRECABLE,0.00214
15-sep-04,CABLEVISION RED,0.04582
15-sep-04,ULTRAVISION,0.00707
15-sep-04,CABLECOM,0.0867
15-sep-04,MEGACABLE-MCM,0.1878
15-sep-04,GRUPO TELEVISA,0.39877
15-sep-04,OTROS,0.14025
15-sep-04,TV REY,0.00168
15-sep-04,DISH-MVS,0.12978
15-sep-04,AIRECABLE,0.00213
15DEC2004,DISH-MVS,0.13337
15DEC2004,TV REY,0.00162
15DEC2004,CABLEVISION RED,0.04542
15DEC2004,MEGACABLE-MCM,0.19054
15DEC2004,CABLECOM,0.08593
15DEC2004,OTROS,0.12334
15DEC2004,AIRECABLE,0.00212
15DEC2004,GRUPO TELEVISA,0.41044
15DEC2004,ULTRAVISION,0.00722
15-mar-05,DISH-MVS,0.14033
15-mar-05,OTROS,0.09562
15-mar-05,CABLECOM,0.08633
15-mar-05,GRUPO TELEVISA,0.43114
15-mar-05,CABLEVISION RED,0.04551
15-mar-05,TV REY,0.00159
15-mar-05,MEGACABLE-MCM,0.18999
15-mar-05,AIRECABLE,0.00209
15-mar-05,ULTRAVISION,0.00739
15-jun-05,DISH-MVS,0.14538
15-jun-05,ULTRAVISION,0.00768
15-jun-05,CABLEVISION RED,0.04483
15-jun-05,OTROS,0.08337
15-jun-05,TV REY,0.00153
15-jun-05,MEGACABLE-MCM,0.18989
15-jun-05,CABLECOM,0.08464
15-jun-05,AIRECABLE,0.00199
15-jun-05,GRUPO TELEVISA,0.44069
15-sep-05,CABLEVISION RED,0.04381
15-sep-05,CABLECOM,0.08326
15-sep-05,MEGACABLE-MCM,0.19062
15-sep-05,AIRECABLE,0.00187
15-sep-05,OTROS,0.08269
15-sep-05,ULTRAVISION,0.00793
15-sep-05,DISH-MVS,0.14846
15-sep-05,GRUPO TELEVISA,0.43986
15-sep-05,TV REY,0.00149
15DEC2005,CABLECOM,0.08214
15DEC2005,CABLEVISION RED,0.04312
15DEC2005,DISH-MVS,0.14766
15DEC2005,ULTRAVISION,0.0081
15DEC2005,GRUPO TELEVISA,0.43856
15DEC2005,TV REY,0.00146
15DEC2005,MEGACABLE-MCM,0.19391
15DEC2005,AIRECABLE,0.00177
15DEC2005,OTROS,0.08328
15-mar-06,TV REY,0.00146
15-mar-06,ULTRAVISION,0.00857
15-mar-06,GRUPO TELEVISA,0.46139
15-mar-06,CABLEVISION RED,0.04489
15-mar-06,OTROS,0.08607
15-mar-06,CABLECOM,0.08445
15-mar-06,AIRECABLE,0.00178
15-mar-06,MEGACABLE-MCM,0.19827
15-mar-06,DISH-MVS,0.11313
15-jun-06,DISH-MVS,0.10876
15-jun-06,CABLECOM,0.08381
15-jun-06,AIRECABLE,0.00169
15-jun-06,TV REY,0.00142
15-jun-06,MEGACABLE-MCM,0.20034
15-jun-06,GRUPO TELEVISA,0.46554
15-jun-06,OTROS,0.08532
15-jun-06,ULTRAVISION,0.00846
15-jun-06,CABLEVISION RED,0.04465
15-sep-06,AIRECABLE,0.0017
15-sep-06,GRUPO TELEVISA,0.4655
15-sep-06,TV REY,0.0014
15-sep-06,OTROS,0.0863
15-sep-06,ULTRAVISION,0.00889
15-sep-06,CABLEVISION RED,0.04596
15-sep-06,CABLECOM,0.08413
15-sep-06,DISH-MVS,0.10724
15-sep-06,MEGACABLE-MCM,0.19888
15DEC2006,AIRECABLE,0.00172
15DEC2006,MEGACABLE-MCM,0.20045
15DEC2006,CABLEVISION RED,0.04628
15DEC2006,CABLECOM,0.0842
15DEC2006,GRUPO TELEVISA,0.46536
15DEC2006,DISH-MVS,0.10573
15DEC2006,OTROS,0.08585
15DEC2006,TV REY,0.00136
15DEC2006,ULTRAVISION,0.00905
15-mar-07,AIRECABLE,0.00168
15-mar-07,GRUPO TELEVISA,0.46553
15-mar-07,CABLECOM,0.08365
15-mar-07,MEGACABLE-MCM,0.20218
15-mar-07,DISH-MVS,0.10387
15-mar-07,TV REY,0.00141
15-mar-07,ULTRAVISION,0.00931
15-mar-07,CABLEVISION RED,0.04674
15-mar-07,OTROS,0.08563
15-jun-07,AIRECABLE,0.00163
15-jun-07,DISH-MVS,0.10113
15-jun-07,CABLEVISION RED,0.0465
15-jun-07,CABLECOM,0.08355
15-jun-07,MEGACABLE-MCM,0.20362
15-jun-07,GRUPO TELEVISA,0.46734
15-jun-07,ULTRAVISION,0.00966
15-jun-07,OTROS,0.08511
15-jun-07,TV REY,0.00147
15-sep-07,MEGACABLE-MCM,0.20451
15-sep-07,CABLEVISION RED,0.04673
15-sep-07,ULTRAVISION,0.00997
15-sep-07,OTROS,0.08464
15-sep-07,DISH-MVS,0.09773
15-sep-07,CABLECOM,0.08369
15-sep-07,MAXCOM,0.00043
15-sep-07,GRUPO TELEVISA,0.46924
15-sep-07,TV REY,0.00145
15-sep-07,AIRECABLE,0.0016
